rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
15,Camila De la peña & Agustina Contreras,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Strength,,,,78KG,159KG,181KG,,,15
1,Finn-Birger Henningsen & Suravit Rutz,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Overall,2 (560KG),1 (8.532KM),1 (13:07),,,,,,4
2,Christian Leth-Madsen & Poul Leth Lorentsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Overall,1 (860KG),2 (8.029KM),2 (13:19),,,,,,5
3,Sam Hanson & charlie hanson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Overall,3 (425KG),3 (7.933KM),4 (15:19),,,,,,10
1,Finn-Birger Henningsen & Suravit Rutz,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,,,,3.272KM,5.26KM,1
2,Christian Leth-Madsen & Poul Leth Lorentsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,,,,2.561KM,5.468KM,2
3,Sam Hanson & charlie hanson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Endurance,,,,,,,3.286KM,4.647KM,3
1,Peter Mortensen & Linda Petersen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,3 (527KG),4 (8.316KM),1 (11:52),,,,,,8
2,Elio Daniele & Sandra Lind Thorsteinsdóttir,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,4 (508KG),1 (8.557KM),4 (13:59),,,,,,9
3,Josephine Asperup & Malthe Kring,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,1 (628KG),6 (7.969KM),3 (13:43),,,,,,10
4,Michelle Bøgelund & Nicolaj Kjerstein Overgaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,5 (507KG),2 (8.546KM),5 (14:40),,,,,,12
5,Benedikt Grimm & Aylin Gün,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,6 (473KG),5 (8.286KM),2 (12:09),,,,,,13
6,Joseph Turton & Phoebe Turton,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,2 (543KG),7 (7.959KM),8 (16:44),,,,,,17
7,Oskar Aurell & Marie Aurell,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,8 (380KG),3 (8.375KM),6 (16:24),,,,,,17
8,Evgeny Karev & Elena Kareva,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,7 (388KG),8 (7.904KM),7 (16:32),,,,,,22
9,Annabelle Searle & Rob Fullwood,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Overall,9 (243KG),9 (5.661KM),9 (25:12),,,,,,27
1,Elio Daniele & Sandra Lind Thorsteinsdóttir,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.791KM,4.766KM,1
2,Michelle Bøgelund & Nicolaj Kjerstein Overgaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.478KM,5.068KM,2
3,Oskar Aurell & Marie Aurell,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.5KM,4.875KM,3
4,Peter Mortensen & Linda Petersen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,3KM,5.316KM,4
5,Benedikt Grimm & Aylin Gün,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.548KM,4.738KM,5
6,Josephine Asperup & Malthe Kring,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.377KM,4.592KM,6
7,Joseph Turton & Phoebe Turton,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.151KM,4.808KM,7
8,Evgeny Karev & Elena Kareva,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,3.2KM,4.704KM,8
9,Annabelle Searle & Rob Fullwood,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Mixed,ATHX Lite,Endurance,,,,,,,2.5KM,3.161KM,9
1,Rosa Magnani & Federica Moscatelli,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,1 (482KG),3 (7.934KM),1 (13:46),,,,,,5
2,Nicole Malanowicz & Isabel Fugmann,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,4 (410KG),1 (8.219KM),2 (15:05),,,,,,7
3,Maja Pedersen & Rie Hansen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,2 (439KG),2 (7.945KM),4 (16:55),,,,,,8
4,Mette Schneefeldt & Gine Nielsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,3 (435KG),6 (7.176KM),3 (15:15),,,,,,12
5,Andreza Coelho de Jesus & Josefine Gylden,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,6 (344KG),8 (7.031KM),5 (19:15),,,,,,19
6,Cristina Mora & Meghan Higgins,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,9 (283KG),4 (7.84KM),7 (19:59),,,,,,20
7,Anne-Marie Friborg & Annine Holmegaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,8 (284KG),5 (7.273KM),8 (20:55),,,,,,21
8,Hanna Draxl & Lisa Kogler,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,7 (298KG),9 (6.719KM),6 (19:39),,,,,,22
9,Jette Dall Andersen & Iben Andersen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,5 (367KG),11 (6.389KM),12 (24:36),,,,,,28
10,Elsa Morandat & Bossba Benghongsiela,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,12 (242KG),7 (7.103KM),11 (21:40),,,,,,30
11,Emina Kösger & Sultan Atalay,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,11 (250KG),10 (6.509KM),10 (21:15),,,,,,31
11,Victoria vicfullwood@gmail.com & Louise Kateley,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Overall,10 (258KG),12 (6.245KM),9 (21:10),,,,,,31
1,Christian Leth-Madsen & Poul Leth Lorentsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Strength,,,,195KG,335KG,330KG,,,1
2,Finn-Birger Henningsen & Suravit Rutz,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Strength,,,,120KG,200KG,240KG,,,2
3,Sam Hanson & charlie hanson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,Strength,,,,110KG,125KG,190KG,,,3
1,Carl Erik  Gustaf Karlsson  & Hugo Jansson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,2 (955KG),2 (10.608KM),3 (14:01),,,,,,7
2,Klaus Uggerhøj & Julian Kragh-Maschvitsz,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,1 (1022KG),5 (10.421KM),2 (13:55),,,,,,8
2,Sam Morris & Bevan Jay,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,3 (950KG),1 (10.998KM),4 (14:09),,,,,,8
4,Lee Collins & PD Savage,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,6 (903KG),8 (9.999KM),1 (13:52),,,,,,15
5,Cristiano Silva & Pedro Pereira,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,4 (920KG),6 (10.158KM),6 (15:12),,,,,,16
6,Arkadiusz Grabowiec & Artur Busz,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,12 (800KG),4 (10.459KM),5 (14:35),,,,,,21
7,Morten Nørgaard Pedersen & Yakup Øzkir,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,11 (812KG),3 (10.602KM),12 (18:03),,,,,,26
7,Gustav Falholt & Jeppe Ormstrup,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,5 (913KG),13 (9.636KM),8 (15:46),,,,,,26
9,Nicolai Mainz & Patrick Nielsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,10 (815KG),10 (9.875KM),7 (15:33),,,,,,27
10,jason schoch & luca bienz,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,8 (843KG),12 (9.785KM),9 (15:52),,,,,,29
11,Benjamin Stender & Dan Andersen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,13 (760KG),7 (10.079KM),10 (17:11),,,,,,30
12,Casper Mortensen & Kasper Sølvstrøm Jensen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,7 (875KG),14 (9.261KM),11 (17:50),,,,,,32
13,Morten Thulstrup & Andreas Runge Vestergaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,16 (674KG),9 (9.904KM),13 (19:03),,,,,,38
14,Max Rosenthal & Cheikh Tidiane Thiam,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,9 (839KG),17 (8.687KM),16 (23:02),,,,,,42
14,Brendan OBrien & Christopher Reeves,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,17 (649KG),11 (9.837KM),14 (20:28),,,,,,42
16,Peter Schnor & Rasmus Jensen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,14 (728KG),15 (9.143KM),15 (22:19),,,,,,44
17,Ronaldas Aliubavicius & Daniel Albarracin,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Pro,Overall,15 (725KG),16 (9.068KM),17 (23:33),,,,,,48
1,Anna Nissen & Line Christiansen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,1 (616KG),4 (9.569KM),1 (14:20),,,,,,6
2,Alberte Martensson & Emma Mårtensson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,3 (599KG),1 (10.059KM),2 (15:02),,,,,,6
3,Sofie Høj & Milla Leander,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,2 (608KG),3 (9.734KM),3 (15:29),,,,,,8
4,Freja Froberg & Katrine Thirup Jørgensen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,7 (536KG),2 (9.808KM),7 (16:35),,,,,,16
5,Mia Furu & Frederikke Mollerup,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,6 (563KG),7 (9.373KM),4 (15:46),,,,,,17
6,Pernille Brogaard Pedersen & Camilla Brogaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,4 (582KG),10 (9.133KM),5 (15:59),,,,,,19
7,Kajsa Sundqvist & Sara Hovrevik,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,5 (565KG),8 (9.361KM),8 (16:51),,,,,,21
8,Nicole Ciecierska & Sabrine Barakji,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,8 (535KG),11 (9.087KM),6 (16:33),,,,,,25
9,Anne Katrine Kiilgaard & Signe Harbo,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,12 (458KG),6 (9.491KM),9 (16:54),,,,,,27
10,Camila De la peña & Agustina Contreras,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,15 (418KG),5 (9.498KM),11 (18:19),,,,,,31
11,Line Jensen & Anna Møller,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,13 (455KG),9 (9.152KM),10 (18:07),,,,,,32
12,Laura Scharff & Freja Lehmann Jensen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,10 (504KG),13 (8.759KM),12 (18:35),,,,,,35
13,Signe Helen Rogne & Kine Karlsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,9 (505KG),14 (8.571KM),13 (19:24),,,,,,36
14,Klara Fuhrmann & Rebecca Rüdiger,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,14 (445KG),12 (8.893KM),14 (19:52),,,,,,40
15,Kristina Johansson & Ria Tapner robinson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Overall,11 (500KG),15 (8.291KM),15 (20:51),,,,,,41
1,Alberte Martensson & Emma Mårtensson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4.781KM,5.278KM,1
2,Freja Froberg & Katrine Thirup Jørgensen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4.42KM,5.388KM,2
3,Sofie Høj & Milla Leander,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4.376KM,5.358KM,3
4,Anna Nissen & Line Christiansen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4KM,5.569KM,4
5,Camila De la peña & Agustina Contreras,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4.589KM,4.909KM,5
6,Anne Katrine Kiilgaard & Signe Harbo,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4.163KM,5.328KM,6
7,Mia Furu & Frederikke Mollerup,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4.106KM,5.267KM,7
8,Kajsa Sundqvist & Sara Hovrevik,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4.34KM,5.021KM,8
9,Line Jensen & Anna Møller,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4KM,5.152KM,9
10,Pernille Brogaard Pedersen & Camilla Brogaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4KM,5.133KM,10
11,Nicole Ciecierska & Sabrine Barakji,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,3.926KM,5.161KM,11
12,Klara Fuhrmann & Rebecca Rüdiger,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4KM,4.893KM,12
13,Laura Scharff & Freja Lehmann Jensen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,4.042KM,4.717KM,13
14,Signe Helen Rogne & Kine Karlsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,3.707KM,4.864KM,14
15,Kristina Johansson & Ria Tapner robinson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Pro,Endurance,,,,,,,3.205KM,5.086KM,15
1,Rosa Magnani & Federica Moscatelli,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,88KG,174KG,220KG,,,1
2,Maja Pedersen & Rie Hansen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,79KG,160KG,200KG,,,2
3,Mette Schneefeldt & Gine Nielsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,81KG,155KG,199KG,,,3
4,Nicole Malanowicz & Isabel Fugmann,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,65KG,150KG,195KG,,,4
5,Jette Dall Andersen & Iben Andersen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,77KG,120KG,170KG,,,5
6,Andreza Coelho de Jesus & Josefine Gylden,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,61KG,117KG,166KG,,,6
7,Hanna Draxl & Lisa Kogler,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,64KG,100KG,134KG,,,7
8,Anne-Marie Friborg & Annine Holmegaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,58KG,86KG,140KG,,,8
9,Cristina Mora & Meghan Higgins,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,66KG,93KG,124KG,,,9
10,Victoria vicfullwood@gmail.com & Louise Kateley,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,56KG,86KG,116KG,,,10
11,Emina Kösger & Sultan Atalay,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,53KG,82KG,115KG,,,11
12,Elsa Morandat & Bossba Benghongsiela,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Strength,,,,54KG,77KG,111KG,,,12
1,Finn-Birger Henningsen & Suravit Rutz,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,MetCon X,,,13:07,,,,,,1
2,Christian Davidis & Heinz Renziehausen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,MetCon X,,,13:19,,,,,,2
2,Christian Leth-Madsen & Poul Leth Lorentsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,MetCon X,,,13:19,,,,,,2
4,Sam Hanson & charlie hanson,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Male,ATHX Lite,MetCon X,,,15:19,,,,,,4
1,Nicole Malanowicz & Isabel Fugmann,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Endurance,,,,,,,3.574KM,4.645KM,1
2,Maja Pedersen & Rie Hansen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Endurance,,,,,,,3.278KM,4.667KM,2
3,Rosa Magnani & Federica Moscatelli,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Endurance,,,,,,,3.5KM,4.434KM,3
4,Cristina Mora & Meghan Higgins,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Endurance,,,,,,,3.731KM,4.109KM,4
5,Anne-Marie Friborg & Annine Holmegaard,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Endurance,,,,,,,3.057KM,4.216KM,5
6,Mette Schneefeldt & Gine Nielsen,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Endurance,,,,,,,2.627KM,4.549KM,6
7,Elsa Morandat & Bossba Benghongsiela,ATHX COPENHAGEN 2026,Denmark 🇩🇰,2026,Female,ATHX Lite,Endurance,,,,,,,3.152KM,3.951KM,7
